param,pct_change,original_val,new_val,latency,bandwidth,energy_nj_per_access
baseline,0,,,80.334,13265.495117,32.6101
nCL,-0.2,16,13,76.693604,13324.948242,32.6101
nCL,-0.1,16,14,77.745003,13287.645508,32.6101
nCL,0.1,16,18,82.388199,13249.012695,32.6101
nCL,0.2,16,19,83.055199,13213.472656,32.6101
nRCD,-0.2,16,13,74.574799,13320.075195,32.6101
nRCD,-0.1,16,14,76.416801,13305.450195,32.6101
nRCD,0.1,16,18,82.829597,13226.085938,32.6101
nRCD,0.2,16,19,83.400002,13216.697266,32.6101
nRP,-0.2,16,13,76.801598,13315.814453,32.6101
nRP,-0.1,16,14,77.709198,13297.12793,32.6101
nRP,0.1,16,18,82.737602,13230.577148,32.6101
nRP,0.2,16,19,84.5364,13205.165039,32.6101
nRAS,-0.2,39,31,80.5056,13263.750977,32.6101
nRAS,-0.1,39,35,80.645798,13252.314453,32.6101
nRAS,0.1,39,43,81.414398,13242.148438,32.6101
nRAS,0.2,39,47,81.434601,13244.524414,32.6101
